Channels,OfferedLoad,SimulatedBlockingProb
13,13.00,0.191978
13,14.00,0.227939
13,15.00,0.263112
13,16.00,0.296676
13,17.00,0.327710
13,18.00,0.357064
13,19.00,0.384496
13,20.00,0.409907
14,1.00,0.000000
14,2.00,0.000000
14,3.00,0.000001
14,4.00,0.000057
14,5.00,0.000449
14,6.00,0.002238
14,7.00,0.007078
14,8.00,0.017159
14,9.00,0.033899
14,10.00,0.056638
14,11.00,0.085207
14,12.00,0.117037
14,13.00,0.151271
14,14.00,0.185909
14,15.00,0.219797
14,16.00,0.252996
14,17.00,0.284827
14,18.00,0.314600
14,19.00,0.342888
14,20.00,0.369317
15,1.00,0.000000
15,2.00,0.000000
15,3.00,0.000000
15,4.00,0.000013
15,5.00,0.000149
15,6.00,0.000900
15,7.00,0.003294
15,8.00,0.009034
15,9.00,0.019862
15,10.00,0.036480
15,11.00,0.058672
15,12.00,0.085355
15,13.00,0.115765
15,14.00,0.147824
15,15.00,0.180248
15,16.00,0.212646
15,17.00,0.244080
15,18.00,0.274228
15,19.00,0.302540
15,20.00,0.330012
16,1.00,0.000000
16,2.00,0.000000
16,3.00,0.000000
16,4.00,0.000003
16,5.00,0.000048
16,6.00,0.000320
16,7.00,0.001431
16,8.00,0.004471
16,9.00,0.010993
16,10.00,0.022207
16,11.00,0.038659
16,12.00,0.060269
16,13.00,0.086000
16,14.00,0.114191
16,15.00,0.144851
16,16.00,0.175443
16,17.00,0.206227
16,18.00,0.235817
16,19.00,0.264313
16,20.00,0.291728
17,1.00,0.000000
17,2.00,0.000000
17,3.00,0.000000
17,4.00,0.000001
17,5.00,0.000015
17,6.00,0.000117
17,7.00,0.000592
17,8.00,0.002067
17,9.00,0.005757
17,10.00,0.012958
17,11.00,0.024286
17,12.00,0.040791
17,13.00,0.061459
17,14.00,0.086011
17,15.00,0.113160
17,16.00,0.141670
17,17.00,0.170648
17,18.00,0.199359
17,19.00,0.228321
17,20.00,0.255377
18,1.00,0.000000
18,2.00,0.000000
18,3.00,0.000000
18,4.00,0.000000
18,5.00,0.000004
18,6.00,0.000044
18,7.00,0.000222
18,8.00,0.000942
18,9.00,0.002887
18,10.00,0.007056
18,11.00,0.014815
18,12.00,0.026373
18,13.00,0.042482
18,14.00,0.062642
18,15.00,0.085942
18,16.00,0.111676
18,17.00,0.138953
18,18.00,0.166462
18,19.00,0.193819
18,20.00,0.221336
19,1.00,0.000000
19,2.00,0.000000
19,3.00,0.000000
19,4.00,0.000000
19,5.00,0.000001
19,6.00,0.000011
19,7.00,0.000086
19,8.00,0.000402
19,9.00,0.001359
19,10.00,0.003724
19,11.00,0.008495
19,12.00,0.016414
19,13.00,0.028332
19,14.00,0.044340
19,15.00,0.063475
19,16.00,0.086213
19,17.00,0.110370
19,18.00,0.136174
19,19.00,0.162321
19,20.00,0.188909
20,1.00,0.000000
20,2.00,0.000000
20,3.00,0.000000
20,4.00,0.000000
20,5.00,0.000000
20,6.00,0.000004
20,7.00,0.000032
20,8.00,0.000164
20,9.00,0.000613
20,10.00,0.001847
20,11.00,0.004648
20,12.00,0.009722
20,13.00,0.018126
20,14.00,0.029942
20,15.00,0.045241
20,16.00,0.064206
20,17.00,0.085884
20,18.00,0.109165
20,19.00,0.133523
20,20.00,0.158712
